transcript_file,label,utterance_id,child_id,age_months,tokens,pos,speaker_code,speech_act
31539,1,14497032,19232,58.85541797572845,"['play', 'ball']","['n', 'n']",CHI,RP
31539,1,14497036,19232,58.85541797572845,"['and', 'he', 'taking', 'swimming', 'pool']","['coord', 'pro:sub', 'part', 'part', 'n']",CHI,ST
31539,1,14497041,19232,58.85541797572845,"['and', 'he', 'get', 'it']","['coord', 'pro:sub', 'v', 'pro:per']",CHI,YY
31539,1,14497046,19232,58.85541797572845,"['and', 'thank', 'you']","['coord', 'v', 'pro:per']",CHI,YY
31539,1,14497053,19232,58.85541797572845,"['and', 'welcome', 'uh']","['coord', 'n', '']",CHI,YY
31539,1,14497058,19232,58.85541797572845,"['and', 'over']","['coord', 'adv']",CHI,YY
31539,1,14497063,19232,58.85541797572845,"['play', 'swimming']","['n', 'part']",CHI,RP
31539,1,14497069,19232,58.85541797572845,"['and', 'go', 'in', 'it']","['coord', 'v', 'prep', 'pro:per']",CHI,RP
31539,1,14497074,19232,58.85541797572845,"['and', 'and', 'run']","['', 'coord', 'v']",CHI,YY
31539,1,14497079,19232,58.85541797572845,"['and', 'walk', 'on', 'knee']","['coord', 'n', 'prep', 'n']",CHI,ST
31539,1,14497084,19232,58.85541797572845,"['and', 'her', 'cry', 'and', 'cry', 'lots']","['coord', 'det:poss', 'v', 'coord', 'v', 'n']",CHI,ST
31539,1,14497090,19232,58.85541797572845,"['and', 'sit', 'on', 'bench']","['coord', 'v', 'prep', 'n']",CHI,RP
31539,1,14497092,19232,58.85541797572845,"['and', 'stay', 'here']","['coord', 'v', 'adv']",CHI,RP
31539,1,14497093,19232,58.85541797572845,"['the', 'what']","['det:art', 'pro:int']",EXA,RR
31539,1,14497094,19232,58.85541797572845,"['and', 'stay', 'on', 'bench']","['coord', 'v', 'prep', 'n']",CHI,RP
31539,1,14497095,19232,58.85541797572845,['over'],['adv'],CHI,YY
31539,1,14497096,19232,58.85541797572845,['play'],['n'],CHI,YY
31539,1,14497097,19232,58.85541797572845,['play'],['n'],EXA,RT
31539,1,14497098,19232,58.85541797572845,"['play', 'a', 'play']","['v', 'det:art', 'n']",CHI,RP
31539,1,14497099,19232,58.85541797572845,"['and', 'play', 'a', 'play', 'again']","['coord', 'v', 'det:art', 'n', 'adv']",CHI,RP
31539,1,14497100,19232,58.85541797572845,"['and', 'play', 'it', 'in', 'in', 'water']","['coord', 'v', 'pro:per', '', 'prep', 'n']",CHI,RP
31539,1,14497101,19232,58.85541797572845,"['and', 'it', 'angry']","['coord', 'pro:per', 'adj']",CHI,YY
31539,1,14497102,19232,58.85541797572845,"['and', 'say', 'bad']","['coord', 'v', 'adj']",CHI,YY
31539,1,14497103,19232,58.85541797572845,"['and', 'dad']","['coord', 'n']",CHI,YY
31539,1,14497104,19232,58.85541797572845,"[""what's"", 'that']","['pro:int', 'pro:dem']",EXA,QN
31539,1,14497105,19232,58.85541797572845,['daddy'],['n'],CHI,YY
31539,1,14497106,19232,58.85541797572845,"['I', 'play', 'in', 'pool']","['pro:sub', 'n', 'prep', 'n']",CHI,SI
31539,1,14497114,19232,58.85541797572845,"['and', 'they', 'are', 'get', 'it', 'get', 'it', ""I'm"", 'get', 'it']","['coord', '', '', '', '', '', '', 'pro:sub', 'v', 'pro:per']",CHI,SI
31539,1,14497125,19232,58.85541797572845,['looking'],['part'],CHI,PF
31539,1,14497129,19232,58.85541797572845,"['and', 'get', 'it']","['coord', 'v', 'pro:per']",CHI,RP
31539,1,14497136,19232,58.85541797572845,"['and', 'it', 'in', 'there']","['coord', 'pro:per', 'prep', 'n']",CHI,RP
31539,1,14497142,19232,58.85541797572845,"['I', 'get', 'it']","['pro:sub', 'v', 'pro:per']",CHI,RP
31539,1,14497150,19232,58.85541797572845,"['you', 'get', 'it']","['pro:per', 'v', 'pro:per']",CHI,RP
31539,1,14497160,19232,58.85541797572845,"['and', 'loffed', 'it', 'loved', 'it']","['coord', '', '', 'v', 'pro:per']",CHI,ST
31539,1,14497166,19232,58.85541797572845,"['loved', 'it']","['v', 'pro:per']",EXA,AP
31539,1,14497173,19232,58.85541797572845,"['he', 'play', 'on', 's', 'in', 'sand']","['pro:sub', 'n', '', '', 'prep', 'n']",CHI,ST
31539,1,14497180,19232,58.85541797572845,"['and', 'play', 'make', 'castle']","['coord', 'n', 'v', 'n']",CHI,RP
31539,1,14497188,19232,58.85541797572845,"['and', 'dump', 'it']","['coord', 'v', 'pro:per']",CHI,YY
31539,1,14497196,19232,58.85541797572845,"['and', 'what']","['coord', 'pro:int']",EXA,QN
31539,1,14497201,19232,58.85541797572845,"['dump', 'it']","['v', 'pro:per']",CHI,SA
31539,1,14497207,19232,58.85541797572845,"['oh', 'no']","['co', 'co']",CHI,YY
31539,1,14497213,19232,58.85541797572845,"['oops', 'sorry']","['co', 'co']",CHI,MK
31539,1,14497218,19232,58.85541797572845,"['and', 'cry']","['coord', 'v']",CHI,YY
31539,1,14497224,19232,58.85541797572845,['uhoh'],['co'],CHI,YY
31539,1,14497228,19232,58.85541797572845,"['they', 'go', 'picnic']","['pro:sub', 'v', 'n']",CHI,ST
31539,1,14497234,19232,58.85541797572845,"['and', 'eat']","['coord', 'v']",CHI,YY
31539,1,14497241,19232,58.85541797572845,"['and', 'they', 'drinks', 'juice']","['coord', 'pro:sub', 'v', 'n']",CHI,ST
31539,1,14497247,19232,58.85541797572845,"['and', 'hungry']","['coord', 'adj']",CHI,YY
31539,1,14497253,19232,58.85541797572845,"['and', 'that', 'girl', 'her', 'tummy', 'that', 'man', 'sick']","['coord', '', '', '', '', 'pro:dem', 'v', 'adj']",CHI,YY
31539,1,14497261,19232,58.85541797572845,"['she', 'what']","['pro:sub', 'pro:int']",EXA,RR
31539,1,14497268,19232,58.85541797572845,['sick'],['adj'],CHI,YY
31539,1,14497272,19232,58.85541797572845,"['and', 'a', 'bunny', 'his', 'tummy', 'hurts']","['coord', 'det:art', 'n', 'det:poss', 'n', 'v']",CHI,ST
31539,1,14497279,19232,58.85541797572845,"['and', 'turn', 'that']","['coord', 'v', 'pro:dem']",CHI,RP
31539,1,14497286,19232,58.85541797572845,"['and', 'go', ""doctor's"", 'house']","['coord', 'v', 'adj', 'n']",CHI,RP
31539,1,14497291,19232,58.85541797572845,"['he', 'what']","['pro:sub', 'pro:int']",EXA,RR
31539,1,14497295,19232,58.85541797572845,['doctor'],['n'],CHI,YY
31539,1,14497302,19232,58.85541797572845,"['all', 'done']","['post', 'part']",CHI,DC
31539,1,14497309,19232,58.85541797572845,"['her', 'play']","['det:poss', 'n']",CHI,RP
31539,1,14497315,19232,58.85541797572845,"['and', 'hold', 'that', 'up', 'higher']","['coord', 'n', 'pro:rel', 'adv', 'adj']",CHI,SI
31539,1,14497321,19232,58.85541797572845,"['tie', 'it', 'up']","['v', 'pro:per', 'adv']",CHI,RP
31539,1,14497326,19232,58.85541797572845,"['and', 'up', 'higher']","['coord', 'adv', 'adj']",CHI,YY
31539,1,14497333,19232,58.85541797572845,"['and', 'up', 'clouds']","['coord', 'adv', 'n']",CHI,YY
31539,1,14497339,19232,58.85541797572845,['angry'],['adj'],CHI,YY
31539,1,14497345,19232,58.85541797572845,"['and', 'man']","['coord', 'n']",CHI,YY
31539,1,14497351,19232,58.85541797572845,['what'],['pro:int'],EXA,QN
31539,1,14497357,19232,58.85541797572845,"['man', 'balloons', 'on', 'it']","['n', 'n', 'prep', 'pro:per']",CHI,SA
31539,1,14497361,19232,58.85541797572845,"['him', 'him', 'take', 'one']","['', 'pro:obj', 'v', 'det:num']",CHI,YY
31539,1,14497366,19232,58.85541797572845,"['and', 'and', 'xxx']","['', 'coord', '']",CHI,YY
31539,1,14497373,19232,58.85541797572845,"['and', 'bring', 'doctor', 'here', 'and', 'check']","['coord', 'v', 'n', 'adv', 'coord', 'n']",CHI,RP
31539,1,14497381,19232,58.85541797572845,"['and', 'talk']","['coord', 'n']",CHI,YY
